,Player,Nation,Position,Club,Age,Born,Match Played,Starts,Minutes Played,90s,Goals,Assist,G-PK,Penalty Kicks,PKatt,Yellow Card,Red Card,Goals/90,Assist/90,G+A/90,G-PK/90,G+A-PK,xG,npxG,xA,xAG,Assist-xAG,npxG+xAG,xG/90,xA/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Shots Total,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK(Shot),npxG/Sh,G-xG,np:G-xG,Passes Completed,Passes Attempted,Pass Completion%,TotDist,PrgDist,Passes Completed(Short),Passes Attempted(Short),Passes Completion%(Short),Passes Completed(Medium),Passes Attempted(Medium),Passes Completion%(Medium),Passes Completed(Long),Passes Attempted(Long),Passes Completion%(Long),Key Passes,Completed Passes to Attacking Third,Completed Passes to Penalty Area,Completed Crosses to Penalty Are,Progressive Pass Completed,Live Ball Passes,Dead Ball Passes,Passes from Free Kick,TB,Passes 40yds+,Crosses,Throw-ins Taken,Corner Kick,Inswinging Corner Kick,Outswinging Corner Kick,Straight Corner Kick,Passes leading to Offside,Passes Blocked,Shots Creating Action,SCA/90,PassLive(SCA),PassDead(SCA),Dribble(SCA),Shot(SCA),Fouls Drawn(SCA),Defensive Action(SCA),Goals Creating Action,GCA/90,PassLive(GCA),PassDead(GCA),Dribble(GCA),Shot(GCA),Fouls Drawn(GCA),Defensive Action(GCA),Touches,Touches in Defensive Penalty Area,Touches in Defensive 3rd,Touches in Middle 3rd,Touches in Attacking 3rd,Touches in Attacking Penalty Area,Live Ball Touches,Dribble Success,Dribble Attempted,Dribble Success%,Mis,Ball Lost (Tackled),Passes Received,Progressive Pass Received,Tackles Attempted,Tackles Won,Tackles in Defensive 3rd,Tackles in Middle 3rd,Tackles in Attacking 3rd,Tackle Won (vsDribble),Tackle Attempted (vsDribble),Tackle% (vsDribble),Dribbled Past (vsDribble),Blocks,Shots Blocked,Pass Blocked,Interception,Tackle + Interception,Clearance,Error Leads to Shot
0,Abner,br BRA,DF,Atl Paranaense,21,2000,28,25,2106,23.4,1,2,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,1.2,1.2,1.7,2.2,-0.2,3.4,0.05,0.07264957264957266,0.09,0.15,0.05,0.15,13,3,23.1,0.56,0.13,0.08,0.33,21.1,0.0,0.09,-0.2,-0.2,988.0,1284.0,76.9,17124.0,6919.0,470.0,534.0,88.0,413.0,518.0,79.7,91.0,181.0,50.3,31.0,105.0,16.0,6.0,84.0,1020.0,261.0,27.0,1.0,7.0,49,229.0,5.0,2.0,3.0,0.0,3.0,27.0,53.0,2.26,43.0,4.0,2.0,1.0,0.0,3.0,6.0,0.26,4.0,1.0,0.0,1.0,0.0,0.0,1470.0,85.0,429.0,736.0,319.0,24.0,1470.0,9.0,16.0,56.3,17.0,12.0,809.0,40.0,43.0,28,26.0,14.0,3.0,24.0,38.0,63.2,14.0,18.0,3.0,15.0,39,82.0,54.0,0.0
1,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,17,16,1446,16.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.1,0.3,-0.3,1.6,0.08,0.006211180124223602,0.02,0.1,0.08,0.1,15,4,26.7,0.93,0.25,0.0,0.0,10.9,0.0,0.08,-1.2,-1.2,539.0,661.0,81.5,10471.0,4046.0,184.0,208.0,88.5,285.0,327.0,87.2,56.0,93.0,60.2,3.0,15.0,0.0,0.0,12.0,633.0,28.0,24.0,0.0,5.0,0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.75,6.0,1.0,0.0,4.0,0.0,1.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,859.0,142.0,490.0,336.0,36.0,25.0,859.0,2.0,2.0,100.0,6.0,0.0,460.0,2.0,17.0,12,14.0,3.0,0.0,8.0,10.0,80.0,2.0,18.0,12.0,6.0,22,39.0,99.0,0.0
2,Adson,br BRA,FWMF,Corinthians,21,2000,25,13,1239,13.8,3,0,3,0,0,2,0,0.22,0.0,0.22,0.22,0.22,2.6,2.6,1.5,0.8,-0.8,3.4,0.19,0.10869565217391304,0.06,0.25,0.19,0.25,27,8,29.6,1.96,0.58,0.11,0.38,18.5,0.0,0.1,0.4,0.4,522.0,633.0,82.5,6877.0,1510.0,318.0,351.0,90.6,158.0,185.0,85.4,15.0,29.0,51.7,14.0,34.0,29.0,2.0,45.0,623.0,7.0,2.0,5.0,2.0,15,2.0,3.0,0.0,1.0,0.0,3.0,19.0,38.0,2.76,29.0,1.0,3.0,2.0,1.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,812.0,10.0,81.0,377.0,368.0,45.0,812.0,43.0,77.0,55.8,41.0,20.0,651.0,70.0,34.0,22,15.0,13.0,6.0,12.0,22.0,54.5,10.0,18.0,0.0,18.0,13,47.0,11.0,0.0
3,Airton,br BRA,FW,Atl Goianiense,22,1999,33,22,1738,19.3,2,4,2,0,0,3,0,0.1,0.21,0.31,0.1,0.31,3.8,3.8,3.0,2.8,1.2,6.6,0.19,0.15544041450777202,0.14,0.34,0.19,0.34,36,13,36.1,1.86,0.67,0.06,0.15,17.2,0.0,0.1,-1.8,-1.8,277.0,444.0,62.4,4218.0,1156.0,150.0,197.0,76.1,85.0,128.0,66.4,21.0,46.0,45.7,30.0,20.0,17.0,9.0,19.0,405.0,34.0,5.0,4.0,1.0,81,3.0,26.0,5.0,19.0,0.0,5.0,29.0,62.0,3.16,32.0,9.0,8.0,6.0,4.0,3.0,10.0,0.51,5.0,0.0,3.0,0.0,2.0,0.0,654.0,18.0,107.0,235.0,330.0,70.0,654.0,31.0,62.0,50.0,37.0,24.0,439.0,89.0,32.0,24,17.0,8.0,7.0,15.0,39.0,38.5,24.0,17.0,5.0,12.0,10,42.0,12.0,0.0
5,Yuri Alberto,br BRA,FW,Corinthians,20,2001,20,15,1453,16.1,8,1,8,0,0,4,1,0.5,0.06,0.56,0.5,0.56,5.9,5.9,1.4,1.6,-0.6,7.5,0.36,0.08695652173913042,0.1,0.46,0.36,0.46,49,20,40.8,3.04,1.24,0.16,0.4,16.3,0.0,0.12,2.1,2.1,255.0,385.0,66.2,3010.0,530.0,170.0,235.0,72.3,58.0,88.0,65.9,1.0,3.0,33.3,17.0,10.0,10.0,1.0,20.0,367.0,13.0,0.0,2.0,2.0,9,1.0,0.0,0.0,0.0,0.0,5.0,13.0,46.0,2.85,32.0,0.0,3.0,6.0,4.0,1.0,2.0,0.12,1.0,0.0,0.0,1.0,0.0,0.0,596.0,13.0,28.0,262.0,312.0,70.0,596.0,7.0,32.0,21.9,59.0,24.0,471.0,110.0,12.0,8,1.0,6.0,5.0,6.0,13.0,46.2,7.0,15.0,0.0,15.0,2,14.0,8.0,0.0
6,Ale,br BRA,MF,América (MG),31,1990,28,24,1929,21.4,2,2,2,0,0,2,1,0.09,0.09,0.19,0.09,0.19,1.9,1.9,1.4,1.5,0.5,3.4,0.09,0.06542056074766354,0.07,0.16,0.09,0.16,23,5,21.7,1.07,0.23,0.09,0.4,17.1,0.0,0.08,0.1,0.1,939.0,1110.0,84.6,16696.0,5100.0,422.0,485.0,87.0,386.0,428.0,90.2,106.0,135.0,78.5,21.0,125.0,15.0,3.0,100.0,1045.0,63.0,40.0,1.0,10.0,23,22.0,0.0,0.0,0.0,0.0,2.0,21.0,55.0,2.56,43.0,1.0,3.0,2.0,4.0,2.0,7.0,0.33,5.0,0.0,0.0,1.0,0.0,1.0,1364.0,58.0,283.0,782.0,317.0,31.0,1364.0,14.0,29.0,48.3,43.0,19.0,852.0,43.0,50.0,21,20.0,22.0,8.0,19.0,37.0,51.4,18.0,32.0,5.0,27.0,28,78.0,36.0,1.0
7,Alexandre Alemão,br BRA,FW,Internacional,23,1998,34,22,2005,22.3,8,5,8,0,0,3,0,0.36,0.22,0.58,0.36,0.58,6.5,6.5,1.9,2.4,2.6,8.9,0.29,0.08520179372197309,0.11,0.4,0.29,0.4,49,19,38.8,2.2,0.85,0.16,0.42,14.3,0.0,0.13,1.5,1.5,298.0,455.0,65.5,4212.0,924.0,175.0,230.0,76.1,89.0,131.0,67.9,17.0,25.0,68.0,21.0,24.0,19.0,3.0,36.0,419.0,31.0,0.0,2.0,4.0,12,0.0,0.0,0.0,0.0,0.0,5.0,27.0,66.0,2.96,34.0,0.0,14.0,4.0,12.0,2.0,15.0,0.67,8.0,0.0,3.0,1.0,3.0,0.0,746.0,11.0,44.0,331.0,381.0,115.0,746.0,58.0,82.0,70.7,107.0,52.0,598.0,142.0,22.0,11,1.0,14.0,7.0,12.0,25.0,48.0,13.0,20.0,3.0,17.0,4,26.0,11.0,0.0
9,Alesson,br BRA,MFFW,Cuiabá,22,1999,21,11,1024,11.4,2,0,2,0,0,3,0,0.18,0.0,0.18,0.18,0.18,2.6,2.6,0.7,1.3,-1.3,3.9,0.23,0.06140350877192982,0.12,0.35,0.23,0.35,22,9,40.9,1.93,0.79,0.09,0.22,15.6,0.0,0.12,-0.6,-0.6,192.0,278.0,69.1,2793.0,855.0,115.0,147.0,78.2,64.0,85.0,75.3,7.0,17.0,41.2,15.0,10.0,9.0,3.0,20.0,272.0,4.0,0.0,0.0,0.0,33,2.0,2.0,0.0,1.0,0.0,2.0,16.0,29.0,2.55,19.0,0.0,5.0,3.0,1.0,1.0,3.0,0.26,0.0,0.0,1.0,1.0,1.0,0.0,434.0,4.0,57.0,178.0,208.0,38.0,434.0,19.0,51.0,37.3,24.0,21.0,296.0,69.0,19.0,9,8.0,8.0,3.0,11.0,33.0,33.3,22.0,20.0,1.0,19.0,3,22.0,3.0,0.0
12,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,21,16,1400,15.6,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.6,-0.6,0.6,0.0,0.057692307692307696,0.04,0.04,0.0,0.04,0,0,,0.0,0.0,,,,0.0,,0.0,0.0,590.0,702.0,84.0,9559.0,3321.0,305.0,328.0,93.0,237.0,270.0,87.8,39.0,64.0,60.9,10.0,35.0,13.0,12.0,34.0,569.0,132.0,14.0,0.0,3.0,39,118.0,0.0,0.0,0.0,0.0,1.0,13.0,23.0,1.48,19.0,2.0,0.0,0.0,1.0,1.0,2.0,0.13,1.0,0.0,0.0,0.0,1.0,0.0,854.0,55.0,291.0,397.0,174.0,7.0,854.0,10.0,18.0,55.6,17.0,5.0,467.0,33.0,35.0,22,25.0,9.0,1.0,23.0,35.0,65.7,12.0,16.0,8.0,8.0,30,65.0,36.0,0.0
15,Allan,br BRA,MF,Atlético Mineiro,24,1997,33,31,2733,30.4,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.7,1.0,-1.0,1.9,0.03,0.05592105263157895,0.03,0.06,0.03,0.06,34,12,35.3,1.12,0.4,0.0,0.0,28.6,0.0,0.03,-0.9,-0.9,1772.0,2081.0,85.2,33404.0,9761.0,736.0,805.0,91.4,805.0,890.0,90.4,210.0,331.0,63.4,19.0,226.0,21.0,1.0,145.0,2011.0,67.0,52.0,0.0,24.0,11,12.0,0.0,0.0,0.0,0.0,3.0,15.0,49.0,1.61,42.0,1.0,0.0,3.0,1.0,2.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,2309.0,84.0,565.0,1465.0,296.0,9.0,2309.0,22.0,35.0,62.9,28.0,9.0,1764.0,19.0,47.0,30,21.0,21.0,5.0,24.0,50.0,48.0,26.0,24.0,7.0,17.0,25,72.0,44.0,1.0
