Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,1470,85,429,736,319,24,1470,9,16,56.3,17,12,809,40,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,859,142,490,336,36,25,859,2,2,100.0,6,0,460,2,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,812,10,81,377,368,45,812,43,77,55.8,41,20,651,70,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,654,18,107,235,330,70,654,31,62,50.0,37,24,439,89,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,47,0,5,18,28,9,47,0,3,0.0,7,3,29,7,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,596,13,28,262,312,70,596,7,32,21.9,59,24,471,110,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,1364,58,283,782,317,31,1364,14,29,48.3,43,19,852,43,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,746,11,44,331,381,115,746,58,82,70.7,107,52,598,142,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,265,9,19,114,134,48,265,5,9,55.6,27,15,178,53,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,434,4,57,178,208,38,434,19,51,37.3,24,21,296,69,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,207,39,112,94,2,2,207,0,1,0.0,3,1,130,0,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,705,24,162,474,75,8,705,3,7,42.9,16,5,462,13,Matches,08ac23b7
