,Name,Pos,League,Age,90s,TklAtt,TklWon,Tkl_Percentage%,TklWon/90,Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),TklvsDrib,TklAttvsDrib,Tkl%vsDrib,Past,Succ,Press,Pres%,Succ/90,Def 3rd (Pres),Mid 3rd (Pres),Att 3rd (Pres),Blocks,Blocks/90,ShotBlocked,ShSv,Pass,Int,Int/90,Tkl+Int,Clr,Err,Gls,ShotsTotal,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive(SCA),PassDead(SCA),Drib(SCA),Sh(SCA),Fld(SCA),Def(SCA),GCA,GCA90,PassLive(GCA),PassDead(GCA),Drib(GCA),Sh(GCA),Fld(GCA),Def(GCA),PassCmp,PassAtt,Cmp%,PassCmp/90,TotDist,PrgDist,PassCmp(Short),PassAtt(Short),Cmp%(Short),PassCmp(Medium),PassAtt(Medium),Cmp%(Medium),PassCmp(Long),PassAtt(Long),Cmp%(Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Recov,HeadersWon,HeadersLost,HeadersAtt,HeadersWon/90,HeadersWon%
0,Max Aarons,DF,Premier League,21.0,32.0,69,37,53.6,1.2,50,19,0,37,58,63.8,21,113,434,26.0,3.5,255,140,39,86,2.7,22,1,64,56,1.8,125,70,0,0,13,2,15.4,0.41,0.06,0.0,0.0,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,38,1.19,27,2,3,4,2,0,5,0.16,5,0,0,0,0,0,1087,1440,75.5,34.0,18371,6874,560,622,90.0,419,544,77.0,98,217,45.2,2,1.4,0.6,19,50,36,8,94,177,15,51,66,0.5,22.7
1,Yunis Abdelhamid,DF,Ligue 1,33.0,33.1,62,46,74.2,1.4,41,20,1,13,27,48.1,14,162,451,35.9,4.9,252,170,29,62,1.9,26,2,36,103,3.1,165,106,0,2,18,6,33.3,0.54,0.18,0.11,0.33,18.7,0,0,0,1.2,1.2,0.07,0.8,0.8,21,0.63,14,0,3,1,0,3,1,0.03,0,0,1,0,0,0,1281,1555,82.4,38.7,27665,9529,339,377,89.9,740,828,89.4,187,303,61.7,0,0.8,-0.8,8,81,6,0,90,224,67,45,112,2.0,59.8
2,Salis Abdul Samed,MF,Ligue 1,21.0,27.4,55,34,61.8,1.2,25,25,5,19,59,32.2,40,179,641,27.9,6.5,197,336,108,27,1.0,1,0,26,51,1.9,106,15,0,1,18,5,27.8,0.66,0.18,0.06,0.2,20.3,0,0,0,0.8,0.8,0.04,0.2,0.2,40,1.46,30,0,0,4,4,2,1,0.04,1,0,0,0,0,0,1532,1671,91.7,55.9,28312,5052,616,659,93.5,708,746,94.9,184,214,86.0,0,1.1,-1.1,15,77,13,1,81,240,24,24,48,0.9,50.0
3,Laurent Abergel,MF,Ligue 1,28.0,32.8,117,73,62.4,2.2,49,56,12,59,163,36.2,104,259,918,28.2,7.9,304,502,112,55,1.7,3,0,52,84,2.6,201,11,0,0,30,7,23.3,0.91,0.21,0.0,0.0,22.6,0,0,0,2.0,2.0,0.07,-2.0,-2.0,66,2.01,49,2,1,1,7,6,5,0.15,4,0,0,0,1,0,1334,1635,81.6,40.7,25609,6758,534,603,88.6,566,644,87.9,205,308,66.6,2,2.9,-0.9,30,127,19,6,137,291,14,14,28,0.4,50.0
7,Tammy Abraham,FW,Serie A,23.0,34.3,34,22,64.7,0.6,10,15,9,10,23,43.5,13,138,467,29.6,4.0,46,196,225,33,1.0,11,0,22,15,0.4,49,31,0,17,93,32,34.4,2.71,0.93,0.15,0.44,12.2,2,3,3,20.5,18.3,0.2,-3.5,-4.3,80,2.33,56,1,1,13,6,3,12,0.35,5,0,1,3,3,0,500,694,72.0,14.6,7714,1755,298,391,76.2,139,201,69.2,44,55,80.0,4,3.6,0.4,35,37,28,4,61,126,82,99,181,2.4,45.3
9,Francesco Acerbi,DF,Serie A,33.0,28.2,27,12,44.4,0.4,18,9,0,9,20,45.0,11,48,165,29.1,1.7,86,68,11,48,1.7,30,0,18,48,1.7,75,115,1,4,16,7,43.8,0.57,0.25,0.25,0.57,9.2,0,0,0,2.2,2.2,0.14,1.8,1.8,18,0.64,14,1,0,1,2,0,2,0.07,1,0,0,0,1,0,1812,2006,90.3,64.3,37942,11558,567,609,93.1,940,996,94.4,280,363,77.1,0,0.4,-0.4,6,122,6,0,88,302,80,45,125,2.8,64.0
12,Marcos Acuña,DF,La Liga,29.0,25.1,58,39,67.2,1.6,33,15,10,21,35,60.0,14,99,293,33.8,3.9,132,119,42,36,1.4,4,0,32,31,1.2,89,30,0,1,17,5,29.4,0.68,0.2,0.06,0.2,22.1,1,0,0,1.4,1.4,0.08,-0.4,-0.4,66,2.63,42,16,1,3,4,0,3,0.12,1,2,0,0,0,0,1564,1971,79.4,62.3,32212,11965,591,635,93.1,682,803,84.9,275,474,58.0,3,3.0,0.0,41,103,42,23,123,223,33,37,70,1.3,47.1
13,Che Adams,FW,Premier League,25.0,22.7,16,9,56.2,0.4,4,6,6,2,15,13.3,13,87,332,26.2,3.8,38,132,162,25,1.1,4,0,21,10,0.4,26,15,0,7,49,24,49.0,2.16,1.06,0.14,0.29,12.9,0,0,0,7.1,7.1,0.14,-0.1,-0.1,51,2.25,34,0,1,4,11,1,4,0.18,3,0,0,0,0,1,337,484,69.6,14.8,5275,1087,187,240,77.9,101,135,74.8,30,53,56.6,3,2.6,0.4,26,22,13,1,35,120,56,111,167,2.5,33.5
18,Yacine Adli,MFFW,Ligue 1,21.0,25.1,48,34,70.8,1.4,26,17,5,15,67,22.4,52,182,625,29.1,7.3,166,319,140,41,1.6,3,0,38,54,2.2,102,15,1,1,33,15,45.5,1.31,0.6,0.03,0.07,19.9,4,0,0,2.2,2.2,0.07,-1.2,-1.2,103,4.1,67,20,4,3,6,3,13,0.52,10,2,0,0,1,0,910,1237,73.6,36.3,19345,6364,360,426,84.5,352,432,81.5,188,331,56.8,7,5.5,1.5,57,112,39,4,148,161,24,20,44,1.0,54.5
23,Lucien Agoume,MF,Ligue 1,19.0,20.8,57,42,73.7,2.0,25,26,6,16,29,55.2,13,121,378,32.0,5.8,118,209,51,38,1.8,11,0,27,56,2.7,113,32,0,0,16,1,6.3,0.77,0.05,0.0,0.0,10.8,0,0,0,1.2,1.1,0.07,-1.2,-1.1,31,1.49,24,1,0,4,2,0,1,0.05,1,0,0,0,0,0,828,981,84.4,39.8,15860,4119,345,393,87.8,327,370,88.4,134,168,79.8,0,0.4,-0.4,11,68,11,0,78,206,31,31,62,1.5,50.0
