,Name,Pos,League,Age,90s,TklAtt,TklWon,Def 3rd (Tkl),Mid 3rd (Tkl),Att 3rd (Tkl),TklvsDrib,TklAttvsDrib,Tkl%vsDrib,Past,Press,Succ,Pres%,Def 3rd (Pres),Mid 3rd (Pres),Att 3rd (Pres),Blocks,ShotBlocked,ShSv,Pass,Int,Tkl+Int,Clr,Err,Gls,ShotsTotal,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive(SCA),PassDead(SCA),Drib(SCA),Sh(SCA),Fld(SCA),Def(SCA),GCA,GCA90,PassLive(GCA),PassDead(GCA),Drib(GCA),Sh(GCA),Fld(GCA),Def(GCA),PassCmp,PassAtt,Cmp%,TotDist,PrgDist,PassCmp(Short),PassAtt(Short),Cmp%(Short),PassCmp(Medium),PassAtt(Medium),Cmp%(Medium),PassCmp(Long),PassAtt(Long),Cmp%(Long),Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Recov,HeadersWon,HeadersLost,HeadersWon%,Tkl_Percentage%,TklWon/90,Succ/90,Blocks/90,Int/90,PassCmp/90,HeadersWon/90,HeadersAtt
0,Max Aarons,DF,Premier League,21.0,32.0,69,37,50,19,0,37,58,63.8,21,434,113,26.0,255,140,39,86,22,1,64,56,125,70,0,0,13,2,15.4,0.41,0.06,0.0,0.0,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,38,1.19,27,2,3,4,2,0,5,0.16,5,0,0,0,0,0,1087,1440,75.5,18371,6874,560,622,90.0,419,544,77.0,98,217,45.2,2,1.4,0.6,19,50,36,8,94,177,15,51,22.7,53.6,1.2,3.5,2.7,1.8,34.0,0.5,66
1,Yunis Abdelhamid,DF,Ligue 1,33.0,33.1,62,46,41,20,1,13,27,48.1,14,451,162,35.9,252,170,29,62,26,2,36,103,165,106,0,2,18,6,33.3,0.54,0.18,0.11,0.33,18.7,0,0,0,1.2,1.2,0.07,0.8,0.8,21,0.63,14,0,3,1,0,3,1,0.03,0,0,1,0,0,0,1281,1555,82.4,27665,9529,339,377,89.9,740,828,89.4,187,303,61.7,0,0.8,-0.8,8,81,6,0,90,224,67,45,59.8,74.2,1.4,4.9,1.9,3.1,38.7,2.0,112
2,Salis Abdul Samed,MF,Ligue 1,21.0,27.4,55,34,25,25,5,19,59,32.2,40,641,179,27.9,197,336,108,27,1,0,26,51,106,15,0,1,18,5,27.8,0.66,0.18,0.06,0.2,20.3,0,0,0,0.8,0.8,0.04,0.2,0.2,40,1.46,30,0,0,4,4,2,1,0.04,1,0,0,0,0,0,1532,1671,91.7,28312,5052,616,659,93.5,708,746,94.9,184,214,86.0,0,1.1,-1.1,15,77,13,1,81,240,24,24,50.0,61.8,1.2,6.5,1.0,1.9,55.9,0.9,48
3,Laurent Abergel,MF,Ligue 1,28.0,32.8,117,73,49,56,12,59,163,36.2,104,918,259,28.2,304,502,112,55,3,0,52,84,201,11,0,0,30,7,23.3,0.91,0.21,0.0,0.0,22.6,0,0,0,2.0,2.0,0.07,-2.0,-2.0,66,2.01,49,2,1,1,7,6,5,0.15,4,0,0,0,1,0,1334,1635,81.6,25609,6758,534,603,88.6,566,644,87.9,205,308,66.6,2,2.9,-0.9,30,127,19,6,137,291,14,14,50.0,62.4,2.2,7.9,1.7,2.6,40.7,0.4,28
4,Charles Abi,FW,Ligue 1,21.0,0.5,0,0,0,0,0,0,1,0.0,1,14,1,7.1,0,11,3,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,1,0,100.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,1
5,Dickson Abiama,FW,Bundesliga,22.0,8.1,14,7,3,7,4,2,11,18.2,9,190,39,20.5,21,81,88,10,3,0,7,8,22,7,0,0,18,4,22.2,2.23,0.5,0.0,0.0,15.6,0,0,0,2.2,2.2,0.12,-2.2,-2.2,20,2.48,12,0,0,1,2,5,2,0.25,1,0,0,1,0,0,90,139,64.7,1296,330,54,78,69.2,25,38,65.8,5,10,50.0,1,1.1,-0.1,8,7,6,0,13,39,22,40,35.5,50.0,0.9,4.8,1.2,1.0,11.1,2.7,62
6,Matthis Abline,FW,Ligue 1,18.0,1.1,0,0,0,0,0,0,1,0.0,1,26,4,15.4,4,14,8,2,0,0,2,1,1,1,0,0,2,0,0.0,1.75,0.0,0.0,0.0,8.6,0,0,0,0.3,0.3,0.17,-0.3,-0.3,1,0.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,10,80.0,100,22,4,6,66.7,4,4,100.0,0,0,0.0,0,0.0,0.0,1,1,1,0,1,7,0,2,0.0,0.0,0.0,3.6,1.8,0.9,7.3,0.0,2
7,Tammy Abraham,FW,Serie A,23.0,34.3,34,22,10,15,9,10,23,43.5,13,467,138,29.6,46,196,225,33,11,0,22,15,49,31,0,17,93,32,34.4,2.71,0.93,0.15,0.44,12.2,2,3,3,20.5,18.3,0.2,-3.5,-4.3,80,2.33,56,1,1,13,6,3,12,0.35,5,0,1,3,3,0,500,694,72.0,7714,1755,298,391,76.2,139,201,69.2,44,55,80.0,4,3.6,0.4,35,37,28,4,61,126,82,99,45.3,64.7,0.6,4.0,1.0,0.4,14.6,2.4,181
8,Luis Abram,DF,La Liga,25.0,6.2,7,6,5,1,1,3,4,75.0,1,35,13,37.1,14,20,1,13,5,2,8,11,18,39,1,0,2,0,0.0,0.32,0.0,0.0,0.0,7.0,0,0,0,0.5,0.5,0.24,-0.5,-0.5,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0,194,220,88.2,4320,1153,42,46,91.3,115,124,92.7,36,48,75.0,0,0.0,0.0,0,8,0,0,9,25,12,15,44.4,85.7,1.0,2.1,2.1,1.8,31.3,1.9,27
9,Francesco Acerbi,DF,Serie A,33.0,28.2,27,12,18,9,0,9,20,45.0,11,165,48,29.1,86,68,11,48,30,0,18,48,75,115,1,4,16,7,43.8,0.57,0.25,0.25,0.57,9.2,0,0,0,2.2,2.2,0.14,1.8,1.8,18,0.64,14,1,0,1,2,0,2,0.07,1,0,0,0,1,0,1812,2006,90.3,37942,11558,567,609,93.1,940,996,94.4,280,363,77.1,0,0.4,-0.4,6,122,6,0,88,302,80,45,64.0,44.4,0.4,1.7,1.7,1.7,64.3,2.8,125
